scientificName,decimalLatitude,decimalLongitude,country,koppen_value
Copernicia prunifera (Mill.) H.E.Moore,-2.977996,-41.781726,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-3.11568,-41.772307,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-5.202951,-37.326961,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-11.37128,-42.488082,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-11.678844,-42.622771,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-3.70777,-38.640245,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-5.529346,-37.0178,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.532487,-37.021589,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.532468,-37.021453,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.532343,-37.021751,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.532388,-37.021697,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.529247,-37.017801,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.532414,-37.021372,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.530535,-37.01933,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.526901,-37.022004,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.52713,-37.020379,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.524793,-37.02701,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.525292,-37.022289,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.525266,-37.022407,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.526062,-37.022593,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.525161,-37.026296,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.52461,-37.023618,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.524866,-37.027181,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.525257,-37.02247,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.525332,-37.023245,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.527992,-37.023751,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.529671,-37.0177,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.525099,-37.023932,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.531432,-37.022341,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.531414,-37.022413,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.5303,-37.016453,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.530835,-37.022424,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.524573,-37.020776,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.525243,-37.018292,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.619051,-36.88858,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.585297,-36.912018,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-5.522039,-37.030718,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.673453,-36.986728,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.587102,-36.949829,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-5.707928,-36.992294,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.58712,-36.949793,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-5.587276,-36.950424,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-5.532127,-37.022032,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.522077,-37.106532,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-6.384179,-37.349998,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-5.715528,-36.016747,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-3.88231,-38.820728,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-5.533877,-37.020808,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.53365,-37.020709,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.534057,-37.020762,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.53403,-37.020735,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.534301,-37.020716,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.5909,-37.072777,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.533904,-37.020826,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.527956,-37.107118,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-5.536544,-37.020826,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.590902,-37.073192,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.575561,-36.922682,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-5.535635,-36.945099,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.590829,-37.073057,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.535771,-36.945116,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.577665,-36.929532,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-5.598803,-37.067517,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.574192,-36.921577,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-2.970414,-41.786208,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-3.936557,-38.603752,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-5.576095,-36.907503,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.588695,-36.914225,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-5.588515,-36.914614,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-5.539413,-36.976332,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.767869,-37.0706,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-5.583769,-36.909533,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-5.194957,-37.33644,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-6.677066,-38.925005,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-3.619993,-38.871205,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-4.030731,-38.533082,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-3.082478,-40.220692,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-5.594015,-37.826395,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-6.690305,-38.897931,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-7.663301,-36.665441,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.84451,-37.286936,Brazil,3
